Time [s],LRCK_out,DATA_out
0.006655760,1,0
0.006656260,0,1
0.006656420,0,0
0.006657400,0,1
0.006657720,0,0
0.006658360,0,1
0.006658860,1,0
0.006660000,1,1
0.006660320,1,0
0.006660980,1,1
0.006661460,1,0
0.006661480,0,0
0.006662440,0,1
0.006662760,0,0
0.006662920,0,1
0.006663420,0,0
0.006663740,0,1
0.006663900,0,0
0.006664080,1,0
0.006665040,1,1
0.006665380,1,0
0.006665540,1,1
0.006666020,1,0
0.006666340,1,1
0.006666520,1,0
0.006666680,0,0
0.006668140,0,1
0.006668300,0,0
0.006669120,0,1
0.006669280,1,0
0.006670740,1,1
0.006670900,1,0
0.006671720,1,1
0.006671880,0,0
0.006672040,0,1
0.006672860,0,0
0.006673180,0,1
0.006673340,0,0
0.006673500,0,1
0.006673840,0,0
0.006674480,1,0
0.006674640,1,1
0.006675460,1,0
0.006675780,1,1
0.006675960,1,0
0.006676120,1,1
0.006676440,1,0
0.006677100,0,0
0.006677240,0,1
0.006678220,0,0
0.006679040,0,1
0.006679200,0,0
0.006679700,1,0
0.006679860,1,1
0.006680840,1,0
0.006681640,1,1
0.006681820,1,0
0.006682300,0,0
0.006683280,0,1
0.006683440,0,0
0.006683760,0,1
0.006683920,0,0
0.006684240,0,1
0.006684420,0,0
0.006684580,0,1
0.006684740,0,0
0.006684900,1,1
0.006685060,1,0
0.006685880,1,1
0.006686040,1,0
0.006686360,1,1
0.006686540,1,0
0.006686860,1,1
0.006687020,1,0
0.006687180,1,1
0.006687500,1,0
0.006687520,0,0
0.006688480,0,1
0.006688800,0,0
0.006689140,0,1
0.006689300,0,0
0.006689620,0,1
0.006690120,1,1
0.006690280,1,0
0.006691080,1,1
0.006691420,1,0
0.006691740,1,1
0.006691900,1,0
0.006692060,1,1
0.006692220,1,0
0.006692720,0,0
0.006692880,0,1
0.006694020,0,0
0.006694180,0,1
0.006694340,0,0
0.006694500,0,1
0.006694660,0,0
0.006694820,0,1
0.006695320,1,1
0.006696620,1,0
0.006696780,1,1
0.006696940,1,0
0.006697100,1,1
0.006697280,1,0
0.006697440,1,1
0.006697940,0,1
0.006698900,0,0
0.006699220,0,1
0.006699380,0,0
0.006700360,0,1
0.006700520,1,0
0.006700680,1,1
0.006701500,1,0
0.006701820,1,1
0.006702000,1,0
0.006703120,1,1
0.006703140,0,1
0.006704280,0,0
0.006704440,0,1
0.006704760,0,0
0.006704920,0,1
0.006705240,0,0
0.006705740,1,1
0.006706880,1,0
0.006707040,1,1
0.006707360,1,0
0.006707520,1,1
0.006707860,1,0
0.006708180,1,1
0.006708340,0,0
0.006709320,0,1
0.006709480,0,0
0.006709640,0,1
0.006710140,0,0
0.006710460,0,1
0.006710940,1,0
0.006711920,1,1
0.006712080,1,0
0.006712240,1,1
0.006712740,1,0
0.006713060,1,1
0.006713380,1,0
0.006713540,1,1
0.006713560,0,1
0.006713720,0,0
0.006714520,0,1
0.006714680,0,0
0.006714840,0,1
0.006715020,0,0
0.006715180,0,1
0.006715340,0,0
0.006715660,0,1
0.006716160,1,1
0.006716320,1,0
0.006717120,1,1
0.006717300,1,0
0.006717460,1,1
0.006717620,1,0
0.006717780,1,1
0.006717940,1,0
0.006718260,1,1
0.006718760,0,1
0.006719900,0,0
0.006720220,0,1
0.006720880,0,0
0.006721200,0,1
0.006721360,1,0
0.006721520,1,1
0.006722500,1,0
0.006722820,1,1
0.006723480,1,0
0.006723960,1,1
0.006723980,0,1
0.006724940,0,0
0.006725260,0,1
0.006725440,0,0
0.006725920,0,1
0.006726240,0,0
0.006726400,0,1
0.006726580,1,1
0.006727540,1,0
0.006727860,1,1
0.006728040,1,0
0.006728520,1,1
0.006729020,1,0
0.006729180,0,0
0.006729340,0,1
0.006730640,0,0
0.006730800,0,1
0.006731780,1,0
0.006731940,1,1
0.006733240,1,0
0.006733400,1,1
0.006734380,0,0
0.006735360,0,1
0.006735680,0,0
0.006735840,0,1
0.006736000,0,0
0.006736160,0,1
0.006736340,0,0
0.006736980,1,0
0.006737960,1,1
0.006738280,1,0
0.006738440,1,1
0.006738620,1,0
0.006738780,1,1
0.006738940,1,0
0.006739600,0,0
0.006740720,0,1
0.006741700,0,0
0.006742200,1,0
0.006743340,1,1
0.006744320,1,0
0.006744800,0,0
0.006744960,0,1
0.006745780,0,0
0.006745940,0,1
0.006746260,0,0
0.006746420,0,1
0.006746760,0,0
0.006746920,0,1
0.006747080,0,0
0.006747240,0,1
0.006747400,1,0
0.006747560,1,1
0.006748380,1,0
0.006748540,1,1
0.006748860,1,0
0.006749020,1,1
0.006749360,1,0
0.006749520,1,1
0.006749680,1,0
0.006749840,1,1
0.006750000,1,0
0.006750020,0,0
0.006750160,0,1
0.006750980,0,0
0.006751300,0,1
0.006751640,0,0
0.006751800,0,1
0.006752120,0,0
0.006752620,1,0
0.006752780,1,1
0.006753580,1,0
0.006753920,1,1
0.006754240,1,0
0.006754400,1,1
0.006754720,1,0
0.006755220,0,1
0.006755380,0,0
0.006756520,0,1
0.006756680,0,0
0.006756840,0,1
0.006757000,0,0
0.006757160,0,1
0.006757340,0,0
0.006757820,1,1
0.006757980,1,0
0.006759120,1,1
0.006759280,1,0
0.006759440,1,1
0.006759620,1,0
0.006759760,1,1
0.006759940,1,0
0.006760420,0,1
0.006760580,0,0
0.006761400,0,1
0.006761720,0,0
0.006761880,0,1
0.006763020,0,0
0.006763040,1,0
0.006764000,1,1
0.006764340,1,0
0.006764480,1,1
0.006765640,0,0
0.006766760,0,1
0.006766940,0,0
0.006767260,0,1
0.006767420,0,0
0.006767740,0,1
0.006768240,1,1
0.006768400,1,0
0.006769380,1,1
0.006769540,1,0
0.006769860,1,1
0.006770020,1,0
0.006770340,1,1
0.006770840,0,1
0.006771820,0,0
0.006771980,0,1
0.006772140,0,0
0.006772620,0,1
0.006772960,0,0
0.006773280,0,1
0.006773440,1,1
0.006774420,1,0
0.006774580,1,1
0.006774740,1,0
0.006775240,1,1
0.006775560,1,0
0.006775880,1,1
0.006776060,0,1
0.006777020,0,0
0.006777180,0,1
0.006777360,0,0
0.006777520,0,1
0.006777680,0,0
0.006777840,0,1
0.006778160,0,0
0.006778660,1,0
0.006778820,1,1
0.006779620,1,0
0.006779780,1,1
0.006779960,1,0
0.006780120,1,1
0.006780280,1,0
0.006780440,1,1
0.006780760,1,0
0.006781260,0,1
0.006781420,0,0
0.006782400,0,1
0.006782720,0,0
0.006783360,0,1
0.006783860,1,1
0.006784020,1,0
0.006785000,1,1
0.006785320,1,0
0.006785980,1,1
0.006786480,0,1
0.006786620,0,0
0.006787440,0,1
0.006787760,0,0
0.006787920,0,1
0.006788420,0,0
0.006788740,0,1
0.006788900,0,0
0.006789080,1,0
0.006790040,1,1
0.006790380,1,0
0.006790540,1,1
0.006791020,1,0
0.006791340,1,1
0.006791520,1,0
0.006791680,0,1
0.006791840,0,0
0.006793140,0,1
0.006793300,0,0
0.006794280,1,1
0.006794440,1,0
0.006795740,1,1
0.006795900,1,0
0.006796720,1,1
0.006796880,0,1
0.006797860,0,0
0.006798180,0,1
0.006798340,0,0
0.006798500,0,1
0.006798840,0,0
0.006799480,1,0
0.006799640,1,1
0.006800460,1,0
0.006800780,1,1
0.006800960,1,0
0.006801120,1,1
0.006801440,1,0
0.006802100,0,0
0.006802240,0,1
0.006803220,0,0
0.006804040,0,1
0.006804200,0,0
0.006804700,1,0
0.006804860,1,1
0.006805840,1,0
0.006806640,1,1
0.006806820,1,0
0.006807300,0,0
0.006808280,0,1
0.006808440,0,0
0.006808760,0,1
0.006808920,0,0
0.006809240,0,1
0.006809420,0,0
0.006809580,0,1
0.006809900,1,0
0.006810880,1,1
0.006811040,1,0
0.006811360,1,1
0.006811540,1,0
0.006811860,1,1
0.006812020,1,0
0.006812180,1,1
0.006812500,1,0
0.006812520,0,0
0.006813480,0,1
0.006813800,0,0
0.006814140,0,1
0.006814300,0,0
0.006814620,0,1
0.006815120,1,1
0.006815280,1,0
0.006816080,1,1
0.006816420,1,0
0.006816740,1,1
0.006816900,1,0
0.006817060,1,1
0.006817220,1,0
0.006817720,0,0
0.006817880,0,1
0.006819020,0,0
0.006819180,0,1
0.006819340,0,0
0.006819500,0,1
0.006819840,0,0
0.006820320,1,0
0.006820480,1,1
0.006821620,1,0
0.006821780,1,1
0.006821940,1,0
0.006822100,1,1
0.006822280,1,0
0.006822440,1,1
0.006822920,0,1
0.006823900,0,0
0.006824220,0,1
0.006824380,0,0
0.006825360,0,1
0.006825520,0,0
0.006825540,1,0
0.006825680,1,1
0.006826500,1,0
0.006826820,1,1
0.006827000,1,0
0.006828120,1,1
0.006828140,0,1
0.006829280,0,0
0.006829440,0,1
0.006829760,0,0
0.006829920,0,1
0.006830240,0,0
0.006830580,0,1
0.006830740,1,0
0.006830900,1,1
0.006831880,1,0
0.006832040,1,1
0.006832360,1,0
0.006832520,1,1
0.006832860,1,0
0.006833180,1,1
0.006833340,0,0
0.006834320,0,1
0.006834480,0,0
0.006834640,0,1
0.006835140,0,0
0.006835460,0,1
0.006835780,0,0
0.006835940,1,1
0.006836100,1,0
0.006836920,1,1
0.006837080,1,0
0.006837240,1,1
0.006837740,1,0
0.006838060,1,1
0.006838380,1,0
0.006838540,1,1
0.006838560,0,1
0.006838720,0,0
0.006839520,0,1
0.006839680,0,0
0.006839840,0,1
0.006840020,0,0
0.006840180,0,1
0.006840340,0,0
0.006840660,0,1
0.006841160,1,1
0.006841320,1,0
0.006842120,1,1
0.006842300,1,0
0.006842460,1,1
0.006842620,1,0
0.006842780,1,1
0.006842940,1,0
0.006843100,1,1
0.006843260,1,0
0.006843760,0,0
0.006843920,0,1
0.006844900,0,0
0.006845220,0,1
0.006845880,0,0
0.006846360,1,1
0.006847500,1,0
0.006847820,1,1
0.006848480,1,0
0.006848800,1,1
0.006848960,1,0
0.006848980,0,0
0.006849120,0,1
0.006849940,0,0
0.006850260,0,1
0.006850440,0,0
0.006850920,0,1
0.006851400,0,0
0.006851580,1,0
0.006851720,1,1
0.006852540,1,0
0.006852860,1,1
0.006853040,1,0
0.006853520,1,1
0.006853840,1,0
0.006854000,1,1
0.006854180,0,1
0.006855640,0,0
0.006855800,0,1
0.006856780,1,0
0.006856940,1,1
0.006858240,1,0
0.006858400,1,1
0.006859220,1,0
0.006859380,0,1
0.006859540,0,0
0.006860360,0,1
0.006860680,0,0
0.006860840,0,1
0.006861020,0,0
0.006861160,0,1
0.006861340,0,0
0.006861980,1,1
0.006862140,1,0
0.006862960,1,1
0.006863280,1,0
0.006863440,1,1
0.006863620,1,0
0.006863780,1,1
0.006863940,1,0
0.006864600,0,0
0.006865720,0,1
0.006866700,0,0
0.006867200,1,0
0.006868340,1,1
0.006869320,1,0
0.006869800,0,0
0.006869960,0,1
0.006870780,0,0
0.006870940,0,1
0.006871260,0,0
0.006871420,0,1
0.006871760,0,0
0.006871920,0,1
0.006872080,0,0
0.006872240,0,1
0.006872400,1,0
0.006872560,1,1
0.006873380,1,0
0.006873540,1,1
0.006873860,1,0
0.006874020,1,1
0.006874360,1,0
0.006874520,1,1
0.006874680,1,0
0.006874840,1,1
0.006875000,1,0
0.006875020,0,0
0.006875160,0,1
0.006875980,0,0
0.006876300,0,1
0.006876640,0,0
0.006876800,0,1
0.006877120,0,0
0.006877620,1,0
0.006877780,1,1
0.006878580,1,0
0.006878920,1,1
0.006879240,1,0
0.006879400,1,1
0.006879720,1,0
0.006880220,0,0
0.006881520,0,1
0.006881680,0,0
0.006881840,0,1
0.006882000,0,0
0.006882160,0,1
0.006882340,0,0
0.006882820,1,1
0.006882980,1,0
0.006884120,1,1
0.006884280,1,0
0.006884440,1,1
0.006884620,1,0
0.006884760,1,1
0.006884940,1,0
0.006885420,0,1
0.006885580,0,0
0.006886400,0,1
0.006886720,0,0
0.006886880,0,1
0.006888040,1,1
0.006888200,1,0
0.006889000,1,1
0.006889340,1,0
0.006889480,1,1
0.006890640,0,1
0.006890800,0,0
0.006891760,0,1
0.006891940,0,0
0.006892260,0,1
0.006892420,0,0
0.006892740,0,1
0.006893240,1,1
0.006893400,1,0
0.006894380,1,1
0.006894540,1,0
0.006894860,1,1
0.006895020,1,0
0.006895340,1,1
0.006895840,0,0
0.006896000,0,1
0.006896820,0,0
0.006896980,0,1
0.006897140,0,0
0.006897620,0,1
0.006897960,0,0
0.006898280,0,1
0.006898440,1,0
0.006898600,1,1
0.006899420,1,0
0.006899580,1,1
0.006899740,1,0
0.006900240,1,1
0.006900560,1,0
0.006900880,1,1
0.006901060,0,1
0.006902020,0,0
0.006902180,0,1
0.006902360,0,0
0.006902520,0,1
0.006902680,0,0
0.006902840,0,1
0.006903160,0,0
0.006903660,1,0
0.006903820,1,1
0.006904620,1,0
0.006904780,1,1
0.006904960,1,0
0.006905120,1,1
0.006905280,1,0
0.006905440,1,1
0.006905760,1,0
0.006906260,0,0
0.006907400,0,1
0.006907720,0,0
0.006908360,0,1
0.006908860,1,1
0.006909020,1,0
