Time [s],LRCK_out,DATA_out,DATA_in
0.018024220,0,0,0
0.018024320,1,0,0
0.018027160,0,0,0
0.018027410,0,0,1
0.018027770,0,0,0
0.018028470,0,0,1
0.018028830,0,0,0
0.018029180,0,0,1
0.018029990,1,1,1
0.018030170,1,0,1
0.018031310,1,0,0
0.018031660,1,0,1
0.018032020,1,0,0
0.018032720,1,0,1
0.018032830,0,0,1
0.018033440,0,0,0
0.018034850,0,0,1
0.018035560,0,0,0
0.018035660,1,0,0
0.018038500,0,0,0
0.018038670,0,1,0
0.018038750,0,1,1
0.018039110,0,1,0
0.018039810,0,1,1
0.018040170,0,1,0
0.018040520,0,1,1
0.018041330,1,1,1
0.018041510,1,0,1
0.018042650,1,0,0
0.018043000,1,0,1
0.018043360,1,0,0
0.018044060,1,0,1
0.018044170,0,0,1
0.018044770,0,0,0
0.018046190,0,0,1
0.018046900,0,0,0
0.018047000,1,0,0
0.018047170,1,1,0
0.018049840,0,1,0
0.018050010,0,0,0
0.018050080,0,0,1
0.018050440,0,0,0
0.018050790,0,0,1
0.018051150,0,0,0
0.018052210,0,0,1
0.018052570,0,0,0
0.018052670,1,0,0
0.018052840,1,1,0
0.018052920,1,1,1
0.018053630,1,1,0
0.018053980,1,1,1
0.018054340,1,1,0
0.018055510,0,1,0
0.018055680,0,0,0
0.018056110,0,0,1
0.018056470,0,0,0
0.018056820,0,0,1
0.018058240,0,0,0
0.018058340,1,0,0
0.018061180,0,0,0
0.018061420,0,0,1
0.018061780,0,0,0
0.018062130,0,0,1
0.018062490,0,0,0
0.018063550,0,0,1
0.018063910,0,0,0
0.018064010,1,0,0
0.018064260,1,0,1
0.018064970,1,0,0
0.018065320,1,0,1
0.018065680,1,0,0
0.018066840,0,0,0
0.018067450,0,0,1
0.018067800,0,0,0
0.018068150,0,0,1
0.018069220,0,0,0
0.018069570,0,0,1
0.018069670,0,1,1
0.018069680,1,1,1
0.018069930,1,1,0
0.018072510,0,1,0
0.018072680,0,0,0
0.018072760,0,0,1
0.018073120,0,0,0
0.018073470,0,0,1
0.018073830,0,0,0
0.018074180,0,0,1
0.018075340,1,0,1
0.018075950,1,0,0
0.018076660,1,0,1
0.018077370,1,0,0
0.018077720,1,0,1
0.018078080,1,0,0
0.018078180,0,0,0
0.018078430,0,0,1
0.018078790,0,0,0
0.018079140,0,0,1
0.018079500,0,0,0
0.018080200,0,0,1
0.018081010,1,0,1
0.018081270,1,0,0
0.018083850,0,0,0
0.018084100,0,0,1
0.018084460,0,0,0
0.018084810,0,0,1
0.018085170,0,0,0
0.018085520,0,0,1
0.018086680,1,0,1
0.018087290,1,0,0
0.018088000,1,0,1
0.018088710,1,0,0
0.018089060,1,0,1
0.018089420,1,0,0
0.018089520,0,0,0
0.018089770,0,0,1
0.018090130,0,0,0
0.018090480,0,0,1
0.018090830,0,0,0
0.018091540,0,0,1
0.018092350,1,0,1
0.018092610,1,0,0
0.018095190,0,0,0
0.018095440,0,0,1
0.018095790,0,0,0
0.018096140,0,0,1
0.018097920,0,0,0
0.018098020,1,0,0
0.018100040,1,0,1
0.018100760,1,0,0
0.018100860,0,0,0
0.018101030,0,1,0
0.018103230,0,1,1
0.018103690,1,1,1
0.018103860,1,0,1
0.018103940,1,0,0
0.018106520,1,1,0
0.018106530,0,1,0
0.018106700,0,0,0
0.018106770,0,0,1
0.018107130,0,0,0
0.018107480,0,0,1
0.018109260,0,0,0
0.018109360,1,0,0
0.018111380,1,0,1
0.018112090,1,0,0
0.018112190,0,0,0
0.018114570,0,0,1
0.018115030,1,0,1
0.018115280,1,0,0
0.018117860,0,1,0
0.018118040,0,0,0
0.018118110,0,0,1
0.018118820,0,0,0
0.018119530,0,0,1
0.018120240,0,0,0
0.018120590,0,0,1
0.018120700,1,0,1
0.018121660,1,0,0
0.018122720,1,0,1
0.018123530,0,0,1
0.018124140,0,0,0
0.018124490,0,0,1
0.018124850,0,0,0
0.018125200,0,0,1
0.018125560,0,0,0
0.018126360,1,0,0
0.018129200,0,0,0
0.018129370,0,1,0
0.018129450,0,1,1
0.018130160,0,1,0
0.018130870,0,1,1
0.018131580,0,1,0
0.018131930,0,1,1
0.018132030,1,1,1
0.018132210,1,0,1
0.018133000,1,0,0
0.018134060,1,0,1
0.018134870,0,0,1
0.018135480,0,0,0
0.018135830,0,0,1
0.018136190,0,0,0
0.018136540,0,0,1
0.018136890,0,0,0
0.018137700,1,0,0
0.018140530,1,1,0
0.018140540,0,1,0
0.018140710,0,0,0
0.018140790,0,0,1
0.018141500,0,0,0
0.018141850,0,0,1
0.018143270,0,0,0
0.018143370,1,0,0
0.018143620,1,0,1
0.018143980,1,0,0
0.018145040,1,0,1
0.018145750,1,0,0
0.018146100,1,0,1
0.018146210,0,0,1
0.018147170,0,0,0
0.018147520,0,0,1
0.018147880,0,0,0
0.018148230,0,0,1
0.018148590,0,0,0
0.018149030,0,1,0
0.018149040,1,1,0
0.018149220,1,0,0
0.018151880,0,0,0
0.018152130,0,0,1
0.018152840,0,0,0
0.018153190,0,0,1
0.018154610,0,0,0
0.018154700,0,1,0
0.018154710,1,1,0
0.018154880,1,0,0
0.018154960,1,0,1
0.018155320,1,0,0
0.018156380,1,0,1
0.018157090,1,0,0
0.018157440,1,0,1
0.018157550,0,0,1
0.018158510,0,0,0
0.018158860,0,0,1
0.018159220,0,0,0
0.018159570,0,0,1
0.018159920,0,0,0
0.018160380,1,0,0
0.018160550,1,1,0
0.018163220,0,1,0
0.018163390,0,0,0
0.018163460,0,0,1
0.018164880,0,0,0
0.018166050,1,0,0
0.018166220,1,1,0
0.018168780,1,1,1
0.018168890,0,1,1
0.018169060,0,0,1
0.018169490,0,0,0
0.018170900,0,0,1
0.018171260,0,0,0
0.018171610,0,0,1
0.018171720,1,0,1
0.018171970,1,0,0
0.018174550,0,0,0
0.018174800,0,0,1
0.018176220,0,0,0
0.018177390,1,0,0
0.018180120,1,0,1
0.018180220,0,0,1
0.018180830,0,0,0
0.018182240,0,0,1
0.018182600,0,0,0
0.018182950,0,0,1
0.018183050,1,0,1
0.018183310,1,0,0
0.018185880,1,1,0
0.018185890,0,1,0
0.018186060,0,0,0
0.018188620,0,0,1
0.018188720,1,0,1
0.018189690,1,0,0
0.018190390,1,0,1
0.018190750,1,0,0
0.018191560,0,0,0
0.018192520,0,0,1
0.018192880,0,0,0
0.018193230,0,0,1
0.018194290,0,0,0
0.018194390,1,0,0
0.018197220,1,1,0
0.018197230,0,1,0
0.018197400,0,0,0
0.018199960,0,0,1
0.018200060,1,0,1
0.018201020,1,0,0
0.018201730,1,0,1
0.018202090,1,0,0
0.018202900,0,0,0
0.018203850,0,0,1
0.018204210,0,0,0
0.018204560,0,0,1
0.018205730,1,0,1
0.018205980,1,0,0
0.018208570,0,0,0
0.018209880,0,0,1
0.018210240,0,0,0
0.018210940,0,0,1
0.018211400,1,0,1
0.018212010,1,0,0
0.018213420,1,0,1
0.018213780,1,0,0
